param num_hospital 		:= 6;				# number of hospital (N)
param num_group_patient	:= 2;				# number of group patient (G)
param num_bed_type 		:= 2;				# number of bed type (B)
param num_time_period	:= 30;				# number of time periode (T)

param patients_admitted	:=					# total patient (p_git)
[1,*,*]:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	4	0	0	0	0	0	0	2	0	0
		4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0
		5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	7	0	2	0	0	0	0	0	0
		6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	7	0	1	0	4	0	0	0	3	0	0	0 ;

param total_patient_transfermx	:= 8;

param patient :=
[1,*,*]:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		1	7	7	8	8	11	20	20	21	23	23	23	26	28	30	32	34	34	43	45	44	49	49	49	54	54	43	43	42	36	35	35
		2	16	17	17	17	19	21	22	24	28	29	28	29	29	29	29	31	17	18	19	22	23	17	18	18	17	18	19	20	21	13	13
		3	2	2	2	1	2	5	5	6	7	8	8	13	17	17	19	20	20	18	14	14	15	8	9	9	10	10	8	10	7	7	8
		4	6	6	7	8	8	8	8	8	9	10	10	11	11	11	13	6	6	4	4	4	2	2	2	2	2	2	2	2	2	2	2
		5	2	7	8	8	11	13	15	17	15	16	16	17	19	17	17	17	18	18	17	20	20	20	9	10	8	9	9	10	10	10	10
		6	8	10	14	14	20	22	22	35	37	37	37	38	35	35	19	21	21	21	22	10	11	11	11	4	4	4	4	1	1	1	1

[2,*,*]: 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		1	5	5	5	6	7	14	13	14	15	15	16	17	18	20	22	22	22	29	30	29	32	32	33	36	36	28	28	28	24	24	24
		2	10	11	11	12	12	14	14	16	18	20	19	19	20	19	19	20	11	12	12	15	15	11	12	12	12	12	12	14	14	9	9
		3	2	2	1	1	1	3	3	4	5	5	6	9	11	12	12	14	14	12	9	10	10	6	6	6	6	6	6	6	4	4	5
		4	4	4	4	5	6	6	6	6	6	6	7	7	7	7	9	4	4	3	3	3	1	1	1	1	1	1	2	1	1	1	1
		5	2	5	6	6	7	8	10	12	10	11	11	12	13	12	12	12	12	12	12	14	13	13	6	7	5	6	6	6	6	6	6
		6	5	6	10	10	14	15	15	24	24	24	25	25	23	23	13	14	14	14	14	7	8	7	7	3	3	3	3	0	0	0	0 ;
